기준연도,대분류,대분류 코드,중분류,중분류 코드,지역1,지역2,입원건수
2023,입원전체,0,입원 전체,0,30110,11140,0
2023,입원전체,0,입원 전체,0,30140,11140,10
2023,입원전체,0,입원 전체,0,30170,11140,22
2023,입원전체,0,입원 전체,0,30200,11140,20
2023,입원전체,0,입원 전체,0,30230,11140,8
2023,입원전체,0,입원 전체,0,31110,11140,3
2023,입원전체,0,입원 전체,0,31140,11140,4
2023,입원전체,0,입원 전체,0,31170,11140,11
2023,입원전체,0,입원 전체,0,31200,11140,1
2023,입원전체,0,입원 전체,0,31710,11140,0
2023,입원전체,0,입원 전체,0,36110,11140,12
2023,입원전체,0,입원 전체,0,41111,11140,5
2023,입원전체,0,입원 전체,0,41113,11140,43
2023,입원전체,0,입원 전체,0,41115,11140,34
2023,입원전체,0,입원 전체,0,41117,11140,36
2023,입원전체,0,입원 전체,0,41131,11140,21
2023,입원전체,0,입원 전체,0,41133,11140,1
2023,입원전체,0,입원 전체,0,41135,11140,212
2023,입원전체,0,입원 전체,0,41150,11140,139
2023,입원전체,0,입원 전체,0,41171,11140,11
2023,입원전체,0,입원 전체,0,41173,11140,60
2023,입원전체,0,입원 전체,0,41190,11140,81
2023,입원전체,0,입원 전체,0,41210,11140,32
2023,입원전체,0,입원 전체,0,41220,11140,33
2023,입원전체,0,입원 전체,0,41250,11140,0
2023,입원전체,0,입원 전체,0,41271,11140,11
2023,입원전체,0,입원 전체,0,41273,11140,33
2023,입원전체,0,입원 전체,0,41281,11140,107
2023,입원전체,0,입원 전체,0,41285,11140,169
2023,입원전체,0,입원 전체,0,41287,11140,74
2023,입원전체,0,입원 전체,0,41290,11140,0
2023,입원전체,0,입원 전체,0,41310,11140,85
2023,입원전체,0,입원 전체,0,41360,11140,72
2023,입원전체,0,입원 전체,0,41370,11140,5
2023,입원전체,0,입원 전체,0,41390,11140,27
2023,입원전체,0,입원 전체,0,41410,11140,15
2023,입원전체,0,입원 전체,0,41430,11140,0
2023,입원전체,0,입원 전체,0,41450,11140,21
2023,입원전체,0,입원 전체,0,41461,11140,19
2023,입원전체,0,입원 전체,0,41463,11140,72
2023,입원전체,0,입원 전체,0,41465,11140,5
2023,입원전체,0,입원 전체,0,41480,11140,31
2023,입원전체,0,입원 전체,0,41500,11140,10
2023,입원전체,0,입원 전체,0,41550,11140,3
2023,입원전체,0,입원 전체,0,41570,11140,36
2023,입원전체,0,입원 전체,0,41590,11140,46
2023,입원전체,0,입원 전체,0,41610,11140,32
2023,입원전체,0,입원 전체,0,41630,11140,4
2023,입원전체,0,입원 전체,0,41650,11140,10
2023,입원전체,0,입원 전체,0,41670,11140,4
2023,입원전체,0,입원 전체,0,41800,11140,0
2023,입원전체,0,입원 전체,0,41820,11140,2
2023,입원전체,0,입원 전체,0,41830,11140,3
2023,입원전체,0,입원 전체,0,43111,11140,1
2023,입원전체,0,입원 전체,0,43112,11140,9
2023,입원전체,0,입원 전체,0,43113,11140,23
2023,입원전체,0,입원 전체,0,43114,11140,32
2023,입원전체,0,입원 전체,0,43130,11140,8
2023,입원전체,0,입원 전체,0,43150,11140,5
2023,입원전체,0,입원 전체,0,43720,11140,0
2023,입원전체,0,입원 전체,0,43730,11140,0
2023,입원전체,0,입원 전체,0,43740,11140,0
2023,입원전체,0,입원 전체,0,43745,11140,0
2023,입원전체,0,입원 전체,0,43750,11140,1
2023,입원전체,0,입원 전체,0,43760,11140,5
2023,입원전체,0,입원 전체,0,43770,11140,1
2023,입원전체,0,입원 전체,0,43800,11140,0
2023,입원전체,0,입원 전체,0,44131,11140,35
2023,입원전체,0,입원 전체,0,44133,11140,8
2023,입원전체,0,입원 전체,0,44150,11140,0
2023,입원전체,0,입원 전체,0,44180,11140,5
2023,입원전체,0,입원 전체,0,44200,11140,2
2023,입원전체,0,입원 전체,0,44210,11140,3
2023,입원전체,0,입원 전체,0,44230,11140,12
2023,입원전체,0,입원 전체,0,44250,11140,0
2023,입원전체,0,입원 전체,0,44270,11140,5
2023,입원전체,0,입원 전체,0,44710,11140,0
2023,입원전체,0,입원 전체,0,44760,11140,0
2023,입원전체,0,입원 전체,0,44770,11140,0
2023,입원전체,0,입원 전체,0,44790,11140,0
2023,입원전체,0,입원 전체,0,44800,11140,0
2023,입원전체,0,입원 전체,0,44810,11140,0
2023,입원전체,0,입원 전체,0,44825,11140,0
2023,입원전체,0,입원 전체,0,45111,11140,4
2023,입원전체,0,입원 전체,0,45113,11140,17
2023,입원전체,0,입원 전체,0,45130,11140,2
2023,입원전체,0,입원 전체,0,45140,11140,6
2023,입원전체,0,입원 전체,0,45180,11140,8
2023,입원전체,0,입원 전체,0,45190,11140,0
2023,입원전체,0,입원 전체,0,45210,11140,0
2023,입원전체,0,입원 전체,0,45710,11140,1
2023,입원전체,0,입원 전체,0,45720,11140,0
2023,입원전체,0,입원 전체,0,45730,11140,0
2023,입원전체,0,입원 전체,0,45740,11140,0
2023,입원전체,0,입원 전체,0,45750,11140,0
2023,입원전체,0,입원 전체,0,45770,11140,0
2023,입원전체,0,입원 전체,0,45790,11140,12
2023,입원전체,0,입원 전체,0,45800,11140,0
2023,입원전체,0,입원 전체,0,46110,11140,7
2023,입원전체,0,입원 전체,0,46130,11140,6
2023,입원전체,0,입원 전체,0,46150,11140,35
2023,입원전체,0,입원 전체,0,46170,11140,2
2023,입원전체,0,입원 전체,0,46230,11140,2
2023,입원전체,0,입원 전체,0,46710,11140,0
2023,입원전체,0,입원 전체,0,46720,11140,0
2023,입원전체,0,입원 전체,0,46730,11140,1
2023,입원전체,0,입원 전체,0,46770,11140,1
2023,입원전체,0,입원 전체,0,46780,11140,0
2023,입원전체,0,입원 전체,0,46790,11140,29
2023,입원전체,0,입원 전체,0,46800,11140,0
2023,입원전체,0,입원 전체,0,46810,11140,0
2023,입원전체,0,입원 전체,0,46820,11140,2
2023,입원전체,0,입원 전체,0,46830,11140,0
2023,입원전체,0,입원 전체,0,46840,11140,3
2023,입원전체,0,입원 전체,0,46860,11140,0
2023,입원전체,0,입원 전체,0,46870,11140,0
2023,입원전체,0,입원 전체,0,46880,11140,0
2023,입원전체,0,입원 전체,0,46890,11140,0
2023,입원전체,0,입원 전체,0,46900,11140,0
2023,입원전체,0,입원 전체,0,46910,11140,0
2023,입원전체,0,입원 전체,0,47111,11140,11
2023,입원전체,0,입원 전체,0,47113,11140,4
2023,입원전체,0,입원 전체,0,47130,11140,7
2023,입원전체,0,입원 전체,0,47150,11140,3
2023,입원전체,0,입원 전체,0,47170,11140,28
2023,입원전체,0,입원 전체,0,47190,11140,7
2023,입원전체,0,입원 전체,0,47210,11140,0
2023,입원전체,0,입원 전체,0,47230,11140,0
2023,입원전체,0,입원 전체,0,47250,11140,2
2023,입원전체,0,입원 전체,0,47280,11140,0
2023,입원전체,0,입원 전체,0,47290,11140,2
2023,입원전체,0,입원 전체,0,47720,11140,0
2023,입원전체,0,입원 전체,0,47730,11140,0
2023,입원전체,0,입원 전체,0,47750,11140,0
2023,입원전체,0,입원 전체,0,47760,11140,0
2023,입원전체,0,입원 전체,0,47770,11140,0
2023,입원전체,0,입원 전체,0,47820,11140,2
2023,입원전체,0,입원 전체,0,47830,11140,0
2023,입원전체,0,입원 전체,0,47840,11140,0
2023,입원전체,0,입원 전체,0,47850,11140,0
2023,입원전체,0,입원 전체,0,47900,11140,1
2023,입원전체,0,입원 전체,0,47920,11140,0
2023,입원전체,0,입원 전체,0,47930,11140,0
2023,입원전체,0,입원 전체,0,47940,11140,0
2023,입원전체,0,입원 전체,0,48121,11140,2
2023,입원전체,0,입원 전체,0,48123,11140,0
2023,입원전체,0,입원 전체,0,48125,11140,0
2023,입원전체,0,입원 전체,0,48127,11140,5
2023,입원전체,0,입원 전체,0,48129,11140,1
2023,입원전체,0,입원 전체,0,48170,11140,10
2023,입원전체,0,입원 전체,0,48220,11140,3
2023,입원전체,0,입원 전체,0,48240,11140,1
2023,입원전체,0,입원 전체,0,48250,11140,4
2023,입원전체,0,입원 전체,0,48270,11140,0
2023,입원전체,0,입원 전체,0,48310,11140,2
2023,입원전체,0,입원 전체,0,48330,11140,1
2023,입원전체,0,입원 전체,0,48720,11140,0
2023,입원전체,0,입원 전체,0,48730,11140,0
2023,입원전체,0,입원 전체,0,48740,11140,1
2023,입원전체,0,입원 전체,0,48820,11140,2
2023,입원전체,0,입원 전체,0,48840,11140,0
2023,입원전체,0,입원 전체,0,48850,11140,0
2023,입원전체,0,입원 전체,0,48860,11140,0
2023,입원전체,0,입원 전체,0,48870,11140,0
2023,입원전체,0,입원 전체,0,48880,11140,1
2023,입원전체,0,입원 전체,0,48890,11140,0
2023,입원전체,0,입원 전체,0,50110,11140,40
2023,입원전체,0,입원 전체,0,50130,11140,13
2023,입원전체,0,입원 전체,0,51110,11140,14
2023,입원전체,0,입원 전체,0,51130,11140,17
2023,입원전체,0,입원 전체,0,51150,11140,24
2023,입원전체,0,입원 전체,0,51170,11140,0
2023,입원전체,0,입원 전체,0,51190,11140,0
2023,입원전체,0,입원 전체,0,51210,11140,4
2023,입원전체,0,입원 전체,0,51230,11140,1
2023,입원전체,0,입원 전체,0,51720,11140,1
2023,입원전체,0,입원 전체,0,51730,11140,0
2023,입원전체,0,입원 전체,0,51750,11140,0
2023,입원전체,0,입원 전체,0,51760,11140,0
2023,입원전체,0,입원 전체,0,51770,11140,0
2023,입원전체,0,입원 전체,0,51780,11140,1
2023,입원전체,0,입원 전체,0,51790,11140,0
2023,입원전체,0,입원 전체,0,51800,11140,3
2023,입원전체,0,입원 전체,0,51810,11140,1
2023,입원전체,0,입원 전체,0,51820,11140,0
2023,입원전체,0,입원 전체,0,51830,11140,0
2023,입원전체,0,입원 전체,0,11110,11170,4471
2023,입원전체,0,입원 전체,0,11140,11170,1349
2023,입원전체,0,입원 전체,0,11170,11170,9456
2023,입원전체,0,입원 전체,0,11200,11170,445
2023,입원전체,0,입원 전체,0,11215,11170,273
2023,입원전체,0,입원 전체,0,11230,11170,434
2023,입원전체,0,입원 전체,0,11260,11170,268
2023,입원전체,0,입원 전체,0,11290,11170,594
2023,입원전체,0,입원 전체,0,11305,11170,129
2023,입원전체,0,입원 전체,0,11320,11170,84
2023,입원전체,0,입원 전체,0,11350,11170,188
2023,입원전체,0,입원 전체,0,11380,11170,604
2023,입원전체,0,입원 전체,0,11410,11170,2775
2023,입원전체,0,입원 전체,0,11440,11170,501
2023,입원전체,0,입원 전체,0,11470,11170,341
2023,입원전체,0,입원 전체,0,11500,11170,484
2023,입원전체,0,입원 전체,0,11530,11170,308
2023,입원전체,0,입원 전체,0,11545,11170,51
2023,입원전체,0,입원 전체,0,11560,11170,2931
2023,입원전체,0,입원 전체,0,11590,11170,3038
2023,입원전체,0,입원 전체,0,11620,11170,228
2023,입원전체,0,입원 전체,0,11650,11170,2962
2023,입원전체,0,입원 전체,0,11680,11170,2761
2023,입원전체,0,입원 전체,0,11710,11170,1090
2023,입원전체,0,입원 전체,0,11740,11170,574
2023,입원전체,0,입원 전체,0,26110,11170,0
2023,입원전체,0,입원 전체,0,26140,11170,25
2023,입원전체,0,입원 전체,0,26170,11170,4
2023,입원전체,0,입원 전체,0,26200,11170,3
